发表时间,来源,论文类型,论文题目,题目翻译,谷歌引用,论文地址,代码地址,Github Star,所用数据集,数据集地址,备注
2024,Multi-Modal,多模态大模型；视觉混合,"SPHINX: A Mixer of Weights, Visual Embeddings and Image Scales for Multi-modal Large Language Models",SPHINX：用于多模态大模型的权重、视觉嵌入与图像尺度混合器,7,https://arxiv.org/abs/2311.07575,https://github.com/Alpha-VLLM/LLaMA2-Accessory,2800,,,
2024,Oral,Transformer；部件发现,PDiscoFormer: Relaxing Part Discovery Constraints with Vision Transformers,PDiscoFormer：利用视觉 Transformer 放宽部件发现约束,6,https://arxiv.org/pdf/2407.04538,https://github.com/ananthu-aniraj/pdiscoformer?utm_source=chatgpt.com,17,,,
2024,Oral,图像识别；去偏差,From Fake to Real: Pretraining on Balanced Synthetic Images to Prevent Spurious Correlations in Image Recognition,从假到真：在平衡合成图像上预训练以防止图像识别中的伪相关,6,https://arxiv.org/pdf/2308.04553,https://github.com/mqraitem/From-Fake-to-Real?utm_source=chatgpt.com,2,,,
2024,Medical,报告生成；医学影像,MedRAT: Unpaired Medical Report Generation via Auxiliary Tasks,MedRAT：基于辅助任务的无配对医学报告生成,6,https://arxiv.org/abs/2407.03919,https://github.com/eladhi/MedRAT,3,,,
2024,Medical,医学图像配准；形变场,NePhi: Neural Deformation Fields for Approximately Diffeomorphic Medical Image Registration,NePhi：用于近似微分同胚医学图像配准的神经形变场,6,https://arxiv.org/abs/2309.07322,https://github.com/uncbiag/NePhi,8,,,
2024,Cross-modal,跨模态估计；自监督,SCPNet: Unsupervised Cross-modal Homography Estimation via Intra-modal Self-supervised Learning,SCPNet：通过模态内自监督学习的无监督跨模态单应估计,6,https://arxiv.org/abs/2407.08148,https://github.com/RM-Zhang/SCPNet,26,,,
2024,Multimodal,模型评测；指令冲突,Dissecting Dissonance: Benchmarking Large Multimodal Models Against Self-Contradictory Instructions,检验张力：针对自相矛盾指令评测大型多模态模型,6,https://arXiv.org/abs/2408.01091,https://github.com/shiyegao/Self-Contradictory-Instructions-SCI,7,,,
2024,Multi-Modal,多模态融合；超分辨率,Adaptive Multi-modal Fusion of Spatially Variant Kernel Refinement with Diffusion Model for Blind Image Super-Resolution,基于扩散模型的空间可变核自适应多模态融合盲超分辨,6,https://arxiv.org/abs/2403.05808,,,,,
2024,Oral,分割；小样本扩散,AlignDiff: Aligning Diffusion Models for General Few-Shot Segmentation,AlignDiff：面向通用小样本分割的扩散模型对齐,5,https://openreview.net/pdf?id=8nz6xYntfJ,https://github.com/RogerQi/AlignDiff?utm_source=chatgpt.com,7,,,
2024,Medical,半监督分割；医学图像,PMT: Progressive Mean Teacher via Exploring Temporal Consistency for Semi-Supervised Medical Image Segmentation,PMT：通过探索时间一致性的渐进式均值教师用于半监督医学图像分割,5,https://arxiv.org/abs/2409.05122,https://github.com/Axi404/PMT?utm_source=chatgpt.com,15,,,
2024,Cross-modal,视频定位；弱监督,Weakly-Supervised Spatio-Temporal Video Grounding with Variational Cross-Modal Alignment,弱监督时空视频定位的变分跨模态对齐,5,https://doi.org/10.1007/978-3-031-73195-2_24,,,,,
2024,Multimodal,图像检索；多模态提示,Elevating All Zero-Shot Sketch-Based Image Retrieval Through Multimodal Prompt Learning,通过多模态提示学习提升零样本素描图像检索,5,https://arxiv.org/abs/2407.04207,https://github.com/mainaksingha01/SpLIP,6,,,
2024,Multimodal,多模态对话；响应生成,BI-MDRG: Bridging Image History in Multimodal Dialogue Response Generation,BI-MDRG：多模态对话中桥接图像历史的响应生成,5,https://arxiv.org/abs/2408.05926,https://github.com/hee-suk-yoon/BI-MDRG,43,,,
2024,Foundation Model,失败检测；模型解释,DECIDER: Leveraging Foundation Model Priors for Improved Model Failure Detection and Explanation,DECIDER：利用基础模型先验改进模型失败检测与解释,5,https://arxiv.org/abs/2408.00331,https://github.com/kowshikthopalli/DECIDER/,0,,,
2024,Multi-Modal,多模态生成；扩散模型,MaxFusion: Plug&Play Multi-Modal Generation in Text-to-Image Diffusion Models,MaxFusion：文本到图像扩散模型中的即插即用多模态生成,5,https://arxiv.org/abs/2404.09977,https://github.com/Nithin-GK/MaxFusion,27,,,
2024,Foundation Model,注视预测；基础模型,Boosting Gaze Object Prediction via Pixel-level Supervision from Vision Foundation Model,通过视觉基础模型的像素级监督提升注视目标预测,4,https://arxiv.org/abs/2408.01044,https://github.com/jinyang06/SamGOP,7,,,
2024,Multi-Modal,多模态蒸馏；3D 表征,Multi-modal Relation Distillation for Unified 3D Representation Learning,用于统一三维表示学习的多模态关系蒸馏,4,https://arxiv.org/abs/2407.14007,,,,,
2024,Cross-modal,文本识别；对比学习,WeCromCL: Weakly Supervised Cross-Modality Contrastive Learning for Transcription-only Supervised Text Spotting,WeCromCL：面向仅转录监督文本识别的弱监督跨模态对比学习,3,https://arxiv.org/abs/2407.19507,,,,,
2024,Medical,液位估计；实验自动化,"Towards Dual Transparent Liquid Level Estimation in Biomedical Lab: Dataset, Methods and Practice",面向生物医学实验中双透明液位估计的数据集、方法与实践,2,https://link.springer.com/chapter/10.1007/978-3-031-73650-6_12,https://github.com/dualtransparency/TCLD,4,,,
2024,Multimodal,标签排序；多模态,Multimodal Label Relevance Ranking via Reinforcement Learning,通过强化学习的多模态标签相关性排序,2,https://arxiv.org/pdf/2407.13221?,https://github.com/ChazzyGordon/LR2PPO,4,,,
2024,Multi-Modal,姿态序列；多模态融合,Learning by Aligning 2D Skeleton Sequences and Multi-Modality Fusion,通过对齐二维骨架序列与多模态融合进行学习,2,https://arxiv.org/abs/2305.19480,,,,,
2024,Multi-Modal,多模态助手；3D 指令,M3DBench: Towards Omni 3D Assistant with Interleaved Multi-modal Instructions,M3DBench：面向全能三维助手的交错多模态指令基准,2,https://arxiv.org/abs/2312.10763,https://github.com/OpenM3D/M3DBench,61,,,
2024,Multimodal,模态对齐；多模态,Object-Oriented Anchoring and Modal Alignment in Multimodal Learning,面向多模态学习的面向对象锚定与模态对齐,1,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06669.pdf,,,,,
2024,Oral,Transformer；样条,Spline-based Transformers,基于样条的 Transformer,0,https://arxiv.org/abs/2504.02797,https://github.com/lucidrains/spline-based-transformer/tree/main,105,,,
2024,Multi-Modal,医学多模态；MRI 融合,Energy-induced Explicit quantification for Multi-modality MRI fusion,用于多模态 MRI 融合的能量诱导显式量化,0,https://www.researchgate.net/profile/Shuo-Li-42/publication/382987950_Energy-induced_Explicit_quantification_for_Multi-modality_MRI_fusion/links/66b61cdd8f7e1236bc488220/Energy-induced-Explicit-quantification-for-Multi-modality-MRI-fusion.pdf,,,,,
